msehi;dimid;isocode
Z18;AAAADL;Z18
Z19;AAAADL;Z19
Z20;AAAADL;Z20
Z21;AAAADL;Z21
Z22;AAAADL;Z22
Z23;AAAADL;Z23
Z24;AAAADL;Z24
Z25;AAAADL;Z25
Z26;AAAADL;Z26
Z27;AAAADL;Z27
Z28;AAAADL;Z28
Z29;AAAADL;Z29
Z30;AAAADL;Z30
Z31;AAAADL;Z31
ZAB;AAAADL;ZAB
ZAC;AAAADL;ZAC
ADP;AAAADL;ZAD
ZAE;AAAADL;907
ZAH;AAAADL;ZAH
ZAO;AAAADL;ZAO
ZAP;AAAADL;ZAP
ZAR;AAAADL;ZAR
ZAS;AAAADL;ZAS
ZAU;AAAADL;ZAU
ZBB;AAAADL;ZBB
ZBC;AAAADL;ZBC
ZBH;AAAADL;ZBH
ZBR;AAAADL;ZBR
ZBU;AAAADL;ZBU
CN;AAAADL;ZCC
ZCH;AAAADL;ZCH
ZCL;AAAADL;ZCL
ZCN;AAAADL;ZCN
ZCO;AAAADL;ZCO
ZCP;AAAADL;ZCP
ZCU;AAAADL;ZCU
ZDB;AAAADL;ZDB
DEV;AAAADL;ZDC
DFM;AAAADL;ZDF
ZDH;AAAADL;ZDH
DOC;AAAADL;ZDO
ZDT;AAAADL;ZDT
ZDV;AAAADL;ZDV
EFM;AAAADL;ZEF
EMP;AAAADL;ZEM
ER;AAAADL;ZER
EMA;AAAADL;ZES
EUR;AAAADL;ZEU
EVT;AAAADL;ZEV
EXP;AAAADL;ZEX
FCT;AAAADL;ZFC
ZFL;AAAADL;ZFL
GBT;AAAADL;ZGB
ZGV;AAAADL;ZGV
ZIC;AAAADL;ZIC
ZIN;AAAADL;ZIN
INV;AAAADL;ZIV
ZLC;AAAADL;
ZLP;AAAADL;ZLP
ZLR;AAAADL;ZLR
ZLU;AAAADL;ZLU
ZMB;AAAADL;ZMB
ZMU;AAAADL;ZMU
ZNA;AAAADL;ZNA
ZOT;AAAADL;ZOT
ZP;POINTS;
PCT;AAAADL;ZPC
PPM;AAAADL;ZPM
PPY;AAAADL;ZPP
QTY;AAAADL;ZQT
SRC;AAAADL;ZRC
REV;AAAADL;ZRE
RES;AAAADL;ZRS
ZSB;AAAADL;ZSB
CO2;AAAADL;
ZSE;AAAADL;ZSE
ZSF;AAAADL;ZSF
ZSH;AAAADL;ZSH
SIT;AAAADL;ZSI
APS;AAAADL;ZSL
ZSN;AAAADL;ZSN
SPD;AAAADL;ZSP
ZSR;AAAADL;ZSR
ZSS;AAAADL;ZSS
ZST;AAAADL;ZST
SUP;AAAADL;ZSU
ZSV;AAAADL;ZSV
ZTB;AAAADL;ZTB
ZTC;AAAADL;
TM;AAAADL;ZTM
TOP;AAAADL;ZTP
